,title,company,salary,summary
0,Python Developer,QuEST Global Engineering,,"8-12 years of experience in Lead Developer.
Solid Understanding of basic networking protocols – TCP/IP, UDP & HTTP.
Advanced Git user, not afraid to rebase."
1,Python Developer,Altimetrik India Pvt Ltd,"₹29,00,000 a year","Design overall architecture of the web based platform in the space of Analytics and Application Security.
Collaborate with the rest of the engineering team to…"
2,Python Developer,Visionpix Technologies,"₹15,00,000 - ₹18,00,000 a year",Good python programming experience & object oriented concepts in PYTHON &.
3,Python & Django Development part time job/internship at Bang...,Prakshep Private Limited,"₹7,000 - ₹14,000 a month","Integrating user-facing elements developed by front-end developers with server-side logic 4.
To provide the most accurate and comprehensive data at scale in…"
4,Python / ML Developer,HealthAsyst,,"3-5 Years of experience.
Python, Deep learning tools such as Keras, TensorFlow, Experience with NumPy, Pandas, SciPy, scikit, Experience with different ML…"
5,Software Developer - Lab View / PLC,Sartorius,,"Collaborate with product experts, architects, software developers, tester, and cross functional teams to translate system and software requirements into layered…"
6,Active Directory & .NET/C# Developer,Cisco Systems,,"Or if you like, take a few days to focus on delivering a small feature that our tens of thousands of customers have been asking for, and measuring exactly how…"
7,Python Developer,BIT MONK SOFTWARE,,Job Type: Part-time / Freelancer.
8,Python Developer,LT Technology Services,,"Experience with python 3 utilising OOP design.
Experience with python xml library's including DOM navigation.
Ability to work with concurrency, multithreading /…"
9,Role: Python Developer,RisamSoft,,"Design, implement, integrate, and test software solutions of moderate complexity comprised of Windows- and Linux-based front-end and back-end components that…"
10,Python Developer,Colortokens,,"Gastrointestinal disorders, for example, Crohn's Disease, or irritable bowel syndrome.
Nervous system condition for example, migraine headaches, Parkinson’s…"
11,Lead Python Backend Developer,Siemens Technology and Services Private Limited,,You will be responsible for Design of software solutions based on requirements and within the constraints of architectural /design guidelines.
12,Python/Django Developer,condingmart Technologies,"₹8,00,000 a year","Should have good knowledge of sql and core python.
Certifications : Completion of python certification course will be an added advantage."
13,Python Pyspark Developer,umlaut AG,,"Must have working experience on spark with python (pyspark).
Good hands on in python (pandas, numpy) programming.
Should have basic Machine learning Knowledge."
14,Python Developers,DynPro India Private Limited,"₹2,50,000 - ₹8,00,000 a year","Object-Oriented Design and Data Structures.
RESTful Web services using any framework.
Experience with working on Agile Software development methodology…"
